???????????,,,,,,,,
,,,,,,,,
??? : 2015-01-01 ~ 2025-01-24 ?? : ??(??) USD [???? : 2025-01-31 13:57:07],,,,,,,,
??,1?,??????,10?,1??,2??,3??,6??,12??
2024-03-20,0.00544,0.00000,0.01719,0.02492,0.03524,0.04316,0.06103,0.08631
2024-03-19,0.00544,-0.00003,0.01720,0.02493,0.03525,0.04317,0.06105,0.08634
2024-03-18,0.00547,0.00000,0.01731,0.02509,0.03548,0.04345,0.06145,0.08690
2024-03-15,0.00547,0.00004,0.01730,0.02507,0.03546,0.04343,0.06142,0.08686
2024-03-14,0.00543,-0.00006,0.01718,0.02490,0.03522,0.04313,0.06100,0.08626
2024-03-13,0.00549,0.00001,0.01737,0.02516,0.03559,0.04359,0.06164,0.08717
2024-03-12,0.00548,0.00000,0.01733,0.02511,0.03552,0.04350,0.06151,0.08699
2024-03-11,0.00548,-0.00001,0.01733,0.02511,0.03552,0.04350,0.06152,0.08700
2024-03-08,0.00549,0.00001,0.01735,0.02514,0.03555,0.04354,0.06158,0.08708
2024-03-07,0.00548,0.00001,0.01732,0.02509,0.03549,0.04346,0.06147,0.08693
2024-03-06,0.00547,-0.00004,0.01731,0.02509,0.03548,0.04345,0.06145,0.08691
2024-03-05,0.00551,-0.00002,0.01744,0.02527,0.03574,0.04377,0.06190,0.08754
2024-03-04,0.00553,-0.00001,0.01749,0.02534,0.03584,0.04390,0.06208,0.08779
2024-02-29,0.00554,0.00000,0.01752,0.02539,0.03590,0.04397,0.06218,0.08794
2024-02-28,0.00554,0.00000,0.01753,0.02541,0.03593,0.04401,0.06223,0.08801
2024-02-27,0.00554,-0.00001,0.01752,0.02540,0.03591,0.04399,0.06221,0.08797
2024-02-26,0.00555,-0.00004,0.01754,0.02542,0.03594,0.04402,0.06226,0.08804
2024-02-23,0.00559,0.00001,0.01767,0.02561,0.03622,0.04436,0.06273,0.08871
2024-02-22,0.00558,-0.00004,0.01765,0.02558,0.03618,0.04431,0.06266,0.08861
2024-02-21,0.00562,-0.00002,0.01778,0.02577,0.03644,0.04463,0.06312,0.08926
2024-02-20,0.00564,-0.00003,0.01784,0.02585,0.03656,0.04478,0.06333,0.08956
2024-02-19,0.00567,-0.00001,0.01794,0.02599,0.03676,0.04502,0.06366,0.09004
2024-02-16,0.00568,0.00000,0.01795,0.02601,0.03679,0.04506,0.06372,0.09011
2024-02-15,0.00568,0.00000,0.01795,0.02601,0.03679,0.04506,0.06372,0.09011
2024-02-14,0.00568,0.00001,0.01795,0.02601,0.03679,0.04505,0.06371,0.09011
2024-02-13,0.00567,-0.00013,0.01794,0.02600,0.03677,0.04504,0.06370,0.09008
2024-02-08,0.00580,-0.00001,0.01834,0.02658,0.03759,0.04604,0.06511,0.09208
2024-02-07,0.00581,-0.00002,0.01838,0.02663,0.03767,0.04613,0.06524,0.09226
2024-02-06,0.00583,0.00000,0.01842,0.02669,0.03775,0.04624,0.06539,0.09247
2024-02-05,0.00583,0.00001,0.01842,0.02669,0.03775,0.04623,0.06539,0.09247
2024-02-02,0.00582,0.00001,0.01840,0.02666,0.03771,0.04618,0.06531,0.09237
2024-02-01,0.00581,0.00000,0.01836,0.02661,0.03763,0.04608,0.06517,0.09217
2024-01-31,0.00581,0.00001,0.01836,0.02661,0.03763,0.04609,0.06517,0.09217
2024-01-30,0.00580,0.00001,0.01835,0.02660,0.03761,0.04607,0.06515,0.09213
2024-01-29,0.00579,-0.00001,0.01832,0.02655,0.03755,0.04599,0.06504,0.09198
2024-01-26,0.00580,0.00000,0.01833,0.02656,0.03756,0.04600,0.06505,0.09200
2024-01-25,0.00580,0.00000,0.01833,0.02656,0.03757,0.04601,0.06507,0.09202
2024-01-24,0.00580,0.00000,0.01835,0.02659,0.03760,0.04605,0.06513,0.09210
2024-01-23,0.00580,0.00000,0.01834,0.02658,0.03759,0.04604,0.06510,0.09207
2024-01-22,0.00580,0.00000,0.01833,0.02657,0.03757,0.04602,0.06508,0.09203
2024-01-19,0.00580,0.00000,0.01836,0.02660,0.03762,0.04607,0.06516,0.09215
2024-01-18,0.00580,0.00000,0.01835,0.02659,0.03760,0.04605,0.06512,0.09210
2024-01-17,0.00580,0.00001,0.01833,0.02657,0.03757,0.04602,0.06508,0.09203
2024-01-16,0.00579,-0.00013,0.01830,0.02652,0.03750,0.04593,0.06496,0.09186
2024-01-15,0.00592,0.00002,0.01870,0.02711,0.03833,0.04695,0.06640,0.09390
2024-01-12,0.00590,0.00000,0.01867,0.02706,0.03826,0.04686,0.06627,0.09372
2024-01-11,0.00590,-0.00001,0.01866,0.02705,0.03825,0.04685,0.06625,0.09369
2024-01-10,0.00591,0.00000,0.01868,0.02707,0.03829,0.04689,0.06632,0.09379
2024-01-09,0.00591,-0.00003,0.01870,0.02710,0.03832,0.04693,0.06637,0.09386
2024-01-08,0.00594,-0.00001,0.01877,0.02721,0.03848,0.04712,0.06664,0.09425
2024-01-05,0.00595,0.00002,0.01880,0.02724,0.03853,0.04719,0.06673,0.09438
2024-01-04,0.00593,0.00000,0.01875,0.02718,0.03843,0.04707,0.06657,0.09414
2024-01-03,0.00593,-0.00001,0.01876,0.02718,0.03844,0.04708,0.06658,0.09415
2024-01-02,0.00594,0.00002,0.01877,0.02720,0.03847,0.04712,0.06663,0.09424
2023-12-29,0.00592,0.00002,0.01871,0.02712,0.03835,0.04697,0.06643,0.09395
2023-12-28,0.00590,0.00000,0.01864,0.02702,0.03821,0.04680,0.06618,0.09359
2023-12-27,0.00590,0.00000,0.01866,0.02704,0.03824,0.04684,0.06624,0.09368
2023-12-26,0.00590,-0.00006,0.01867,0.02705,0.03826,0.04686,0.06626,0.09371
2023-12-22,0.00596,-0.00001,0.01884,0.02730,0.03860,0.04728,0.06686,0.09455
2023-12-21,0.00597,0.00000,0.01889,0.02737,0.03871,0.04741,0.06704,0.09481
2023-12-20,0.00597,-0.00006,0.01888,0.02736,0.03869,0.04739,0.06702,0.09478
2023-12-19,0.00603,-0.00003,0.01906,0.02762,0.03906,0.04784,0.06765,0.09567
2023-12-18,0.00606,0.00001,0.01915,0.02775,0.03924,0.04806,0.06797,0.09613
2023-12-15,0.00605,-0.00001,0.01915,0.02775,0.03924,0.04806,0.06796,0.09611
2023-12-14,0.00606,0.00005,0.01915,0.02775,0.03925,0.04807,0.06798,0.09613
2023-12-13,0.00601,0.00001,0.01899,0.02752,0.03892,0.04767,0.06742,0.09534
